horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,feature_block,feature_block_notes
1,no_change_bvps,growth,186,31,0,0.027655717312199384,0.03744088856513846,0.027655717312199384,0.03744088856513846,0.7169892473118279,1.339712695889265,0.23118279569892472,,0.0,0.01025736812076767,baseline,
1,drift_bvps_growth,growth,186,31,0,0.02446260994736661,0.03620025899628411,0.02446260994736661,0.03620025899628411,0.6335633252702939,1.318444989827775,0.7365591397849462,0.10480805333347037,0.007512235833596132,0.01025736812076767,baseline,
1,trailing_3m_growth,growth,186,31,0,0.02490512276535589,0.03912466647325422,0.02490512276535589,0.03912466647325422,0.6181676242683742,1.3743143566690577,0.7473118279569892,0.027058434619418707,0.015254089752987523,0.01025736812076767,baseline,
1,seasonal_month_drift,growth,186,31,0,0.02575109974702366,0.03762456934297347,0.02575109974702366,0.03762456934297347,0.6891933514780244,1.3303341845939598,0.6827956989247311,0.09719541967968273,0.006146949524648087,0.01025736812076767,baseline,
1,ridge_bridge,growth,186,31,9,0.02456213969743427,0.036154445775184084,0.02456213969743427,0.036154445775184084,0.6322777889685929,1.3184578590206832,0.7311827956989247,0.13476402053252146,0.007263072292957212,0.01025736812076767,bvps_lags,Pre-registered x9 bvps_lags feature block.
1,elastic_net_bridge,growth,186,31,9,0.02978511776248038,0.04068751794702567,0.02978511776248038,0.04068751794702567,0.7529070988768726,1.406287470290226,0.5645161290322581,0.10285935409275068,0.004622131931828804,0.01025736812076767,bvps_lags,Pre-registered x9 bvps_lags feature block.
1,ridge_bridge,growth,186,31,11,0.02401246867329115,0.035911178641870996,0.02401246867329115,0.035911178641870996,0.6180771369192383,1.3068231248304745,0.7365591397849462,0.19073518921716265,0.008058717498466312,0.01025736812076767,accounting_core,Pre-registered x9 accounting_core feature block.
1,elastic_net_bridge,growth,186,31,11,0.030788565289810214,0.045643804221890266,0.030788565289810214,0.045643804221890266,0.7806721849485769,1.5527520064664917,0.7043010752688172,0.29528320799668045,0.011335541995976967,0.01025736812076767,accounting_core,Pre-registered x9 accounting_core feature block.
1,ridge_bridge,growth,186,31,6,0.024121998185824306,0.03589261801318908,0.024121998185824306,0.03589261801318908,0.622817788530726,1.3069631496891414,0.7365591397849462,0.17660299595783469,0.007990886126408431,0.01025736812076767,logical_interactions,Pre-registered x9 logical_interactions feature block.
1,elastic_net_bridge,growth,186,31,6,0.022894001628970238,0.03568906836764437,0.022894001628970238,0.03568906836764437,0.5803266261725712,1.2902441183889577,0.7311827956989247,0.33347257901337596,0.014003589628463991,0.01025736812076767,logical_interactions,Pre-registered x9 logical_interactions feature block.
1,ridge_bridge,growth,186,31,26,0.023870484624319108,0.03564108427885821,0.023870484624319108,0.03564108427885821,0.6096516603115034,1.297956434814387,0.7365591397849462,0.222746154814466,0.00815798408815054,0.01025736812076767,bridge_combined,"Union of BVPS lags, accounting core, and logical interactions."
