feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
monthly_combined_ratio_delta,31,31,0.00036206094432008983,1.0,1,ridge_bridge,bridge_combined
premium_to_surplus_x_cr_delta,31,31,0.0003309238588495654,1.0,1,ridge_bridge,bridge_combined
bvps_yoy_dollar_change,31,31,0.00029089664054769227,1.0,1,ridge_bridge,bridge_combined
realized_gain_to_net_income_ratio,31,31,0.00025954476445171087,1.0,1,ridge_bridge,bridge_combined
bvps_growth_6m,31,31,0.0002413096690257796,1.0,1,ridge_bridge,bridge_combined
buyback_yield,31,31,0.00023621027774903134,1.0,1,ridge_bridge,bridge_combined
unrealized_gain_x_real_rate,31,31,0.00022863136858176065,1.0,1,ridge_bridge,bridge_combined
bvps_growth_ytd,31,31,0.00020247930259399314,1.0,1,ridge_bridge,bridge_combined
pif_growth_yoy,31,31,0.0001986263035685276,1.0,1,ridge_bridge,bridge_combined
bvps_growth_1m,31,31,0.00018332107697437538,1.0,1,ridge_bridge,bridge_combined
bvps_growth_3m,31,31,0.00017929277770303704,1.0,1,ridge_bridge,bridge_combined
underwriting_income_growth_yoy,31,31,0.00016131231189268195,1.0,1,ridge_bridge,bridge_combined
unrealized_gain_pct_equity,31,31,0.00015923833010160932,1.0,1,ridge_bridge,bridge_combined
underwriting_margin_ttm,31,31,0.0001585695687243344,1.0,1,ridge_bridge,bridge_combined
combined_ratio_ttm,31,31,0.00015286385421266638,1.0,1,ridge_bridge,bridge_combined
buyback_yield_x_pb_ratio,31,31,0.0001360911907393144,1.0,1,ridge_bridge,bridge_combined
q4_flag,31,31,0.00012703608286232057,1.0,1,ridge_bridge,bridge_combined
premium_growth_x_underwriting_margin,31,31,0.0001185258433192219,1.0,1,ridge_bridge,bridge_combined
buyback_yield_x_bvps_growth_3m,31,31,9.857216846494134e-05,1.0,1,ridge_bridge,bridge_combined
npw_growth_yoy,31,31,9.306984414736461e-05,1.0,1,ridge_bridge,bridge_combined
investment_yield_x_bvps,31,21,0.0003560659378058684,0.6774193548387096,1,ridge_bridge,bridge_combined
investment_book_yield,31,21,0.00017993227013054757,0.6774193548387096,1,ridge_bridge,bridge_combined
month_of_year,31,30,0.011920965867605183,0.967741935483871,1,elastic_net_bridge,bridge_combined
dividend_season_flag,31,29,0.007259732058279649,0.9354838709677419,1,elastic_net_bridge,bridge_combined
bvps_growth_6m,31,22,0.003451915388808124,0.7096774193548387,1,elastic_net_bridge,bridge_combined
underwriting_income_growth_yoy,31,21,0.0023931641636723883,0.6774193548387096,1,elastic_net_bridge,bridge_combined
realized_gain_to_net_income_ratio,31,19,0.0023353536465763264,0.6129032258064516,1,elastic_net_bridge,bridge_combined
current_bvps,31,18,0.0075581585224520345,0.5806451612903226,1,elastic_net_bridge,bridge_combined
pgr_premium_to_surplus,31,18,0.004385064377935151,0.5806451612903226,1,elastic_net_bridge,bridge_combined
premium_to_surplus_x_cr_delta,31,18,0.0035956820890893676,0.5806451612903226,1,elastic_net_bridge,bridge_combined
bvps_growth_1m,31,18,0.0029863668585863043,0.5806451612903226,1,elastic_net_bridge,bridge_combined
bvps_growth_ytd,31,17,0.0025256574852796474,0.5483870967741935,1,elastic_net_bridge,bridge_combined
bvps_growth_3m,31,17,0.0010909808545934748,0.5483870967741935,1,elastic_net_bridge,bridge_combined
unrealized_gain_x_real_rate,31,15,0.005569919054837432,0.4838709677419355,1,elastic_net_bridge,bridge_combined
pif_growth_yoy,31,15,0.0039612077616670936,0.4838709677419355,1,elastic_net_bridge,bridge_combined
monthly_combined_ratio_delta,31,14,0.0031504610915275007,0.45161290322580644,1,elastic_net_bridge,bridge_combined
q4_flag,31,14,0.0027710197851698415,0.45161290322580644,1,elastic_net_bridge,bridge_combined
bvps_yoy_dollar_change,31,12,0.005157856827967463,0.3870967741935484,1,elastic_net_bridge,bridge_combined
investment_book_yield,31,11,0.002650517494976426,0.3548387096774194,1,elastic_net_bridge,bridge_combined
unrealized_gain_pct_equity,31,11,0.0022378264651574725,0.3548387096774194,1,elastic_net_bridge,bridge_combined
buyback_yield_x_bvps_growth_3m,31,11,0.0011278817031551778,0.3548387096774194,1,elastic_net_bridge,bridge_combined
combined_ratio_ttm,31,10,0.001386055216107003,0.3225806451612903,1,elastic_net_bridge,bridge_combined
investment_yield_x_bvps,31,9,0.00586596954763695,0.2903225806451613,1,elastic_net_bridge,bridge_combined
buyback_yield_x_pb_ratio,31,9,0.00383294428030896,0.2903225806451613,1,elastic_net_bridge,bridge_combined
buyback_yield,31,8,0.004662670242886485,0.25806451612903225,1,elastic_net_bridge,bridge_combined
npw_growth_yoy,31,8,0.00036188134711907235,0.25806451612903225,1,elastic_net_bridge,bridge_combined
premium_growth_x_underwriting_margin,31,6,0.0007209841826271445,0.1935483870967742,1,elastic_net_bridge,bridge_combined
underwriting_margin_ttm,31,3,0.00017247051364965794,0.0967741935483871,1,elastic_net_bridge,bridge_combined
