candidate_name,target,feature_set,calibration,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,abstention_rate,variant,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio,hold_fraction_changes,selected_target_candidate,selected_next
benchmark_panel_primary,actionable_sell_3pct,lean_baseline,prequential_logistic_per_benchmark,162,0.7098765432098766,0.5345394736842105,0.20332248085849097,0.6188975035008079,0.5555555555555556,0.10416666666666667,0.2962962962962963,0.05555555555555555,0.09805922130069904,0.13580246913580246,benchmark_panel_primary,0.9135802469135802,0.08013483516981787,0.06836016180690374,12.981843297510494,0.7283950617283951,0.017890757519811774,0.08013483516981787,0.03909687838447137,-0.0019410784008751223,0.8174889125490136,13,benchmark_panel_primary,True
basket_underperform_0pct,basket_underperform_0pct,lean_baseline,prequential_logistic,162,0.6790123456790124,0.5548245614035088,0.21101191762573474,0.6248368233305747,0.42857142857142855,0.25,0.2962962962962963,0.1728395061728395,0.12170891410234928,0.24074074074074073,basket_underperform_0pct,0.7685185185185185,0.07318225329050666,0.055473679816406385,11.85552503306208,0.6666666666666666,0.024843339399122984,0.07318225329050666,0.03214429650516016,-0.008893660280186339,0.7465627218620101,21,benchmark_panel_primary,False
basket_actionable_sell_3pct,basket_actionable_sell_3pct,lean_baseline,prequential_logistic,162,0.7345679012345679,0.5633196721311475,0.18882206850568625,0.5794289447706713,0.42857142857142855,0.225,0.24691358024691357,0.12962962962962962,0.10861055606423461,0.19753086419753085,basket_actionable_sell_3pct,0.8271604938271605,0.07638762537613342,0.06043453257768157,12.374795310933614,0.6975308641975309,0.02163796731349621,0.07638762537613342,0.035349668590786934,-0.005688288194559559,0.7792620608578544,17,benchmark_panel_primary,False
breadth_underperform_majority,breadth_underperform_majority,lean_baseline,prequential_logistic,162,0.7160493827160493,0.4988095238095238,0.21412718222629323,0.6846347338507214,0.25,0.047619047619047616,0.25925925925925924,0.04938271604938271,0.11924064322640131,0.1728395061728395,breadth_underperform_majority,0.9012345679012346,0.07802883731011132,0.06325227515106994,12.640671644238033,0.7160493827160493,0.01999675537951831,0.07802883731011132,0.03699088052476483,-0.004047076260581664,0.7960047490573977,15,benchmark_panel_primary,False
