model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count
classification,ridge,ta_pgr_natr_63d,replace_vol_63d,pgr_volatility,volatility,8,,,0.026341235786735827,-0.03164651389615751,0.028993874841446672,8
classification,ridge,ta_pgr_obv_detrended,add_feature,pgr_volume,volume,8,,,0.02119471480006327,-0.010246041239867922,0.015720378019965595,7
classification,ridge,ta_pgr_obv_detrended,replace_mom_12m,pgr_volume,volume,8,,,0.03768218526169014,-0.02924702008733873,0.03346460267451444,8
classification,ridge,ta_pgr_obv_detrended,replace_vix,pgr_volume,volume,8,,,0.04096221331872626,-0.022968941480241183,0.03196557739948372,7
classification,ridge,ta_pgr_obv_detrended,replace_vol_63d,pgr_volume,volume,8,,,0.03612204340672443,-0.039091602755363095,0.03760682308104376,7
classification,ridge,ta_ratio_bb_pct_b_6m_bnd,add_feature,ratio_bollinger,volatility,8,,,0.001271887591369661,0.01563009569258524,-0.007179104050607789,4
classification,ridge,ta_ratio_bb_pct_b_6m_bnd,replace_mom_12m,ratio_bollinger,volatility,8,,,0.023753172650371003,-0.00029777298528747137,0.012025472817829237,6
classification,ridge,ta_ratio_bb_pct_b_6m_bnd,replace_vix,ratio_bollinger,volatility,8,,,0.02483888477752625,-0.000900717508987469,0.01286980114325686,6
classification,ridge,ta_ratio_bb_pct_b_6m_bnd,replace_vol_63d,ratio_bollinger,volatility,8,,,0.026742698986699127,-0.024473572501707102,0.025608135744203113,6
classification,ridge,ta_ratio_bb_pct_b_6m_dbc,add_feature,ratio_bollinger,volatility,8,,,-0.015011381692772947,0.013649646776245972,-0.01433051423450946,3
classification,ridge,ta_ratio_bb_pct_b_6m_dbc,replace_mom_12m,ratio_bollinger,volatility,8,,,0.0060039048713639645,-0.014755296657846115,0.01037960076460504,7
classification,ridge,ta_ratio_bb_pct_b_6m_dbc,replace_vix,ratio_bollinger,volatility,8,,,0.004887396618867841,-0.001544506351446047,0.003215951485156944,7
classification,ridge,ta_ratio_bb_pct_b_6m_dbc,replace_vol_63d,ratio_bollinger,volatility,8,,,-0.004970911863725717,-0.01140222999602021,0.0032156590661472466,5
classification,ridge,ta_ratio_bb_pct_b_6m_gld,add_feature,ratio_bollinger,volatility,8,,,-0.009074963157610201,0.02288478338273201,-0.015979873270171106,4
classification,ridge,ta_ratio_bb_pct_b_6m_gld,replace_mom_12m,ratio_bollinger,volatility,8,,,0.008471298051481106,0.0010593159836804512,0.0037059910339003275,5
classification,ridge,ta_ratio_bb_pct_b_6m_gld,replace_vix,ratio_bollinger,volatility,8,,,0.0019052977377614702,0.0045956554960361745,-0.0013451788791373522,4
classification,ridge,ta_ratio_bb_pct_b_6m_gld,replace_vol_63d,ratio_bollinger,volatility,8,,,0.020159771103883235,-0.012788961365637952,0.016474366234760594,6
classification,ridge,ta_ratio_bb_pct_b_6m_vde,add_feature,ratio_bollinger,volatility,8,,,-0.0023390508158208714,0.009586176593934792,-0.005962613704877832,5
classification,ridge,ta_ratio_bb_pct_b_6m_vde,replace_mom_12m,ratio_bollinger,volatility,8,,,-0.0011147367938348293,-0.016804959729876633,0.007845111468020902,6
classification,ridge,ta_ratio_bb_pct_b_6m_vde,replace_vix,ratio_bollinger,volatility,8,,,-0.006637164949764053,-0.003741754247397786,-0.0014477053511831334,6
classification,ridge,ta_ratio_bb_pct_b_6m_vde,replace_vol_63d,ratio_bollinger,volatility,8,,,0.005051408854838325,-0.01573053517211049,0.010390972013474407,6
