horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,return_mae,return_rmse,implied_price_mae,implied_price_rmse,directional_hit_rate,spearman_ic,mean_predicted_return,mean_realized_return
1,no_change,return,252,42,0,0.05283875691104715,0.07882920138920661,0.05283875691104715,0.07882920138920661,4.116230158730159,8.653688519931832,0.46825396825396826,,0.0,0.007648007974865172
1,drift,return,252,42,0,0.052150683715312646,0.07867475282235176,0.052150683715312646,0.07867475282235176,4.163447511428089,8.78851394103423,0.5714285714285714,0.07464471923349154,0.007807601187486135,0.007648007974865172
1,no_change,log_return,252,42,0,0.05493287119058778,0.10732482724133095,0.05283875691104715,0.07882920138920661,4.116230158730159,8.653688519931832,0.46825396825396826,,0.0,0.007648007974865175
1,drift,log_return,252,42,0,0.054244483791594876,0.1076088900841817,0.052150683715312646,0.07867475282235176,4.163447511428089,8.78851394103423,0.5714285714285714,0.07464471923349154,0.007807601187486136,0.007648007974865175
1,ridge_return,return,252,42,21,0.05468827343892184,0.08499674344402279,0.05468827343892184,0.08499674344402279,4.407252628662966,9.346761794640859,0.5674603174603174,0.08931186603107616,0.01004939465745794,0.007648007974865172
1,ridge_log_return,log_return,252,42,21,0.05733855107432619,0.11236407122858619,0.05580271117003074,0.08824230027842302,4.46993052698018,9.558071458517034,0.5753968253968254,0.09898519979933457,0.005543984492329794,0.007648007974865175
1,hist_gbt_return,return,252,42,21,0.062008119052214664,0.088463557951697,0.062008119052214664,0.088463557951697,4.72212334527724,9.607727589230175,0.5357142857142857,0.06777578496993839,0.00036750443925439387,0.007648007974865172
1,hist_gbt_log_return,log_return,252,42,21,0.06796656637350473,0.11873297209331866,0.06527069243957567,0.09236279732041132,4.816865191310584,9.656484994633775,0.5436507936507936,0.09450026097970365,-0.007346017776883881,0.007648007974865175
3,no_change,return,246,41,0,0.09202440700654681,0.13546054875309652,0.09202440700654681,0.13546054875309652,6.956626016260162,13.698280899203956,0.3902439024390244,,0.0,0.021580030694439787
3,drift,return,246,41,0,0.09257344612438452,0.13711011014502186,0.09257344612438452,0.13711011014502186,7.245455850865805,14.701879981172938,0.6097560975609756,0.04104987376416427,0.022089207628791876,0.021580030694439787
3,no_change,log_return,246,41,0,0.09806192643871023,0.18779490408076227,0.09202440700654681,0.13546054875309652,6.956626016260162,13.698280899203956,0.3902439024390244,,0.0,0.021580030694439787
3,drift,log_return,246,41,0,0.09863452201947447,0.19104598858227742,0.09257344612438452,0.13711011014502186,7.245455850865805,14.701879981172938,0.6097560975609756,0.04104987376416427,0.022089207628791876,0.021580030694439787
3,ridge_return,return,246,41,21,0.09335919483588838,0.13843333428425658,0.09335919483588838,0.13843333428425658,7.269583836228803,14.75353893513178,0.6178861788617886,0.03343537079095486,0.021289322560065143,0.021580030694439787
3,ridge_log_return,log_return,246,41,21,0.10277121987393707,0.19273369479727104,0.09651764138088262,0.14086129539952805,7.258088534250219,14.484731293967593,0.6219512195121951,0.09133837004733758,0.006632141193649524,0.021580030694439787
3,hist_gbt_return,return,246,41,21,0.11181661809730296,0.15908721353010788,0.11181661809730296,0.15908721353010788,8.388090615879713,16.944118957885916,0.5040650406504065,-0.0033264041652466252,0.005058139312596562,0.021580030694439787
3,hist_gbt_log_return,log_return,246,41,21,0.12852971284305528,0.2171754695238516,0.12039286998744934,0.16699629442483913,8.591157010042082,16.895256344368008,0.516260162601626,0.032875497654490035,-0.010770543956555774,0.021580030694439787
6,no_change,return,240,40,0,0.14459371054280584,0.20035990008188684,0.14459371054280584,0.20035990008188684,11.340208333333331,21.207671499169038,0.3125,,0.0,0.04586512942417256
