benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,version,experiment
VOO,90,-0.25565745165775455,0.05110919043503313,0.6715644771363063,0.5888888888888889,0.13584847610371556,0.07405254934399681,0.14050345209057455,0.52705145846708,v37,baseline
VXUS,90,-0.011729623090336982,0.2413055109684323,0.11103065984188261,0.8,0.12239651372246554,0.060910636819359924,0.14675117094697657,0.41506065284731436,v37,baseline
VWO,156,-0.08513977009441653,0.22873038200755474,0.01842449127701332,0.6730769230769231,0.12705588795729822,0.07106333235057928,0.14911748011836,0.4765593697946995,v37,baseline
VMBS,102,-0.23934781895617774,0.09046598549061075,0.605175697556709,0.8529411764705882,0.11930377711669356,0.08186137451575275,0.12987879858984758,0.6302905124204908,v37,baseline
BND,132,-0.08669039924167476,0.2628343934089213,0.039376689777510056,0.7954545454545454,0.11162217801117115,0.0763927129519768,0.12861369547757887,0.593970281845251,v37,baseline
GLD,162,-0.7874242918413648,0.08810674028065332,0.5170500092036261,0.6049382716049383,0.16382647460622268,0.13841750995487762,0.15995467853943457,0.8653545567956159,v37,baseline
DBC,150,-0.2078891109763128,0.06669274189963999,0.574885707532583,0.7266666666666667,0.16218078415265513,0.12429762674097863,0.18087763888155986,0.6871917806400034,v37,baseline
VDE,162,-0.23705953888650022,0.15355488094885267,0.23885821054578238,0.6296296296296297,0.1842786159575534,0.15038463807347857,0.2134771261034729,0.7044531693788437,v37,baseline
POOLED,1044,-0.22688563831651432,0.15794357451137675,0.001145970884802599,0.7001915708812261,0.1443352707502894,0.11201955294292197,0.1635004646326896,0.685132933380822,v37,baseline
