model,n_obs,n_covered,coverage,balanced_accuracy_all,balanced_accuracy_covered,brier_score,log_loss,ece,base_rate_positive
path_a_separate_logistic_calibrated_v92_reference,,,,0.7538,0.5132,0.1852,0.5985,0.0813,
path_b_composite_logistic_v125,84.0,71.0,0.8452,0.6518,0.6331,0.2393,0.859,0.2381,0.2738
