candidate_name,calibration,target,feature_set,lower_threshold,upper_threshold,abstention_rate,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,variant,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio,hold_fraction_changes,selected_variant,selected_next
separate_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.4,0.6,0.08024691358024691,162,0.6829501915708812,0.555352798053528,0.2409051471957787,0.8260531854491797,0.28793774319066145,0.3333333333333333,0.21264367816091953,0.24616858237547892,0.22127410257086258,separate_logistic_balanced__raw__0.40_0.60,0.8672839506172839,0.08248193745461829,0.07174929110624091,13.362073867648164,0.7037037037037037,0.015543655235011349,0.08248193745461829,0.041443980669271796,0.00040602388392530116,0.8414326829501971,18,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
separate_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.35,0.65,0.16049382716049382,162,0.6829501915708812,0.555352798053528,0.2409051471957787,0.8260531854491797,0.28793774319066145,0.3333333333333333,0.21264367816091953,0.24616858237547892,0.22127410257086258,separate_logistic_balanced__raw__0.35_0.65,0.8518518518518519,0.08024500924728845,0.07174929110624091,12.999691498060727,0.7098765432098766,0.01778058344234119,0.08024500924728845,0.03920705246194195,-0.001830904323404544,0.8186128443146639,18,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
separate_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.3,0.7,0.2345679012345679,162,0.6829501915708812,0.555352798053528,0.2409051471957787,0.8260531854491797,0.28793774319066145,0.3333333333333333,0.21264367816091953,0.24616858237547892,0.22127410257086258,separate_logistic_balanced__raw__0.30_0.70,0.8395061728395061,0.07718925071078009,0.07051637474105521,12.504658615146374,0.7160493827160493,0.020836341978849548,0.07718925071078009,0.03615129392543359,-0.004886662859912899,0.7874397756020517,21,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
separate_logistic_balanced,prequential_logistic,actionable_sell_3pct,lean_baseline,0.4,0.6,0.0,162,0.7538314176245211,0.5132340369566647,0.1851649124815341,0.5985206800376326,0.2727272727272727,0.0945945945945946,0.21264367816091953,0.07375478927203065,0.08127615343251922,separate_logistic_balanced__prequential_logistic__0.40_0.60,1.0,0.082075913570693,0.09231849269710032,13.296297998452264,0.7283950617283951,0.01594967911893665,0.082075913570693,0.0410379567853465,0.0,0.8372906637816839,1,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
separate_logistic_balanced,prequential_logistic,actionable_sell_3pct,lean_baseline,0.35,0.65,0.0,162,0.7538314176245211,0.5132340369566647,0.1851649124815341,0.5985206800376326,0.2727272727272727,0.0945945945945946,0.21264367816091953,0.07375478927203065,0.08127615343251922,separate_logistic_balanced__prequential_logistic__0.35_0.65,1.0,0.082075913570693,0.09231849269710032,13.296297998452264,0.7283950617283951,0.01594967911893665,0.082075913570693,0.0410379567853465,0.0,0.8372906637816839,1,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
separate_logistic_balanced,prequential_logistic,actionable_sell_3pct,lean_baseline,0.3,0.7,0.043209876543209874,162,0.7538314176245211,0.5132340369566647,0.1851649124815341,0.5985206800376326,0.2727272727272727,0.0945945945945946,0.21264367816091953,0.07375478927203065,0.08127615343251922,separate_logistic_balanced__prequential_logistic__0.30_0.70,0.9783950617283951,0.0826672267273096,0.08459811532533897,13.392090729824154,0.7283950617283951,0.015358365962320035,0.0826672267273096,0.0416292699419631,0.0005913131566166112,0.8433228961854077,9,separate_logistic_balanced__prequential_logistic__0.30_0.70,True
pooled_fixed_effects_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.4,0.6,0.08024691358024691,162,0.6865325077399381,0.5727543522418987,0.2331578796923102,0.7783261687793259,0.3292307692307692,0.36394557823129253,0.22755417956656346,0.2515479876160991,0.19774486973857966,pooled_fixed_effects_logistic_balanced__raw__0.40_0.60,0.7561728395061729,0.07579654234991316,0.0491363723025276,12.279039860685932,0.6172839506172839,0.02222905033971647,0.07579654234991316,0.03475858556456668,-0.006279371220779819,0.7732321761103911,19,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
pooled_fixed_effects_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.35,0.65,0.13580246913580246,162,0.6865325077399381,0.5727543522418987,0.2331578796923102,0.7783261687793259,0.3292307692307692,0.36394557823129253,0.22755417956656346,0.2515479876160991,0.19774486973857966,pooled_fixed_effects_logistic_balanced__raw__0.35_0.65,0.7530864197530864,0.07546626935895331,0.04548592731865538,12.225535636150436,0.6234567901234568,0.022559323330676326,0.07546626935895331,0.03442831257360682,-0.006609644211739677,0.7698629234295573,14,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
pooled_fixed_effects_logistic_balanced,raw,actionable_sell_3pct,lean_baseline,0.3,0.7,0.17901234567901234,162,0.6865325077399381,0.5727543522418987,0.2331578796923102,0.7783261687793259,0.3292307692307692,0.36394557823129253,0.22755417956656346,0.2515479876160991,0.19774486973857966,pooled_fixed_effects_logistic_balanced__raw__0.30_0.70,0.75,0.07528642622967786,0.0491363723025276,12.196401049207815,0.6358024691358025,0.022739166459951773,0.07528642622967786,0.034248469444331374,-0.006789487341015123,0.7680282685772795,19,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
pooled_fixed_effects_logistic_balanced,prequential_logistic,actionable_sell_3pct,lean_baseline,0.4,0.6,0.06790123456790123,162,0.7654798761609907,0.5398790778836584,0.180542069602839,0.5626267470281221,0.4457831325301205,0.12585034013605442,0.22755417956656346,0.06424148606811146,0.07304566581162504,pooled_fixed_effects_logistic_balanced__prequential_logistic__0.40_0.60,0.9228395061728395,0.07959282555817306,0.0743619157201619,12.894037740424036,0.7098765432098766,0.018432767131456564,0.07959282555817306,0.03855486877282658,-0.0024830880125199166,0.8119596461934311,9,separate_logistic_balanced__prequential_logistic__0.30_0.70,False
