universe_name,benchmark,horizon_months,candidate_type,candidate_name,policy_name,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio
full21,VTI,6,heuristic,always_sell_100,always_sell_100,291,0.0,0.0,0.0,0.0,0.0,0.07651435932192499,0.0,-0.005125369971497213,-0.010250739942994426,0.0
full21,VTI,6,heuristic,always_sell_50,always_sell_50,291,0.5,0.005125369971497213,0.015291506040251757,1.4914826617056889,0.5567010309278351,0.0713889893504278,0.005125369971497213,0.0,-0.005125369971497213,0.06698572682197904
full21,VTI,6,heuristic,always_hold_100,always_hold_100,291,1.0,0.010250739942994426,0.030583012080503513,2.9829653234113778,0.5567010309278351,0.06626361937893058,0.010250739942994426,0.005125369971497213,0.0,0.13397145364395807
full21,VTI,6,baseline,historical_mean,sign_hold_vs_sell,222,0.6216216216216216,0.024877867053678046,0.0,5.522886485916526,0.38738738738738737,0.05935573013078242,0.024877867053678046,0.003323973399939084,-0.018229920253799877,0.29534375694770343
full21,VTI,6,baseline,historical_mean,tiered_25_50_100,222,0.14864864864864866,-0.0034230977459063323,0.0,-0.7599276995912058,0.11711711711711711,0.08765669493036679,-0.0034230977459063323,-0.024976991399645293,-0.04653088505338425,-0.04063815223764218
full21,VTI,6,baseline,last_value,sign_hold_vs_sell,222,0.5405405405405406,0.011154682593467349,0.0,2.4763395357497515,0.3153153153153153,0.0730789145909931,0.011154682593467349,-0.010399211060271609,-0.03195310471401057,0.13242557561729276
full21,VTI,6,baseline,last_value,tiered_25_50_100,222,0.25675675675675674,0.002704544119191047,0.0,0.6004087944604124,0.22072072072072071,0.08152905306526942,0.002704544119191047,-0.018849349534547914,-0.04040324318828687,0.03210766498869153
full21,VTI,6,baseline,zero,sign_hold_vs_sell,222,0.0,0.0,0.0,0.0,0.0,0.08423359718446047,0.0,-0.021553893653738963,-0.04310778730747793,0.0
full21,VTI,6,baseline,zero,tiered_25_50_100,222,0.0,0.0,0.0,0.0,0.0,0.08423359718446047,0.0,-0.021553893653738963,-0.04310778730747793,0.0
full21,VTI,6,model,elasticnet,sign_hold_vs_sell,222,0.5180180180180181,0.021780841101675243,0.0,4.835346724571904,0.3063063063063063,0.062452756082785214,0.021780841101675243,0.00022694744793627953,-0.02132694620580268,0.2585766467265796
full21,VTI,6,model,elasticnet,tiered_25_50_100,222,0.17004504504504506,0.0036063006593530234,0.0,0.8005987463763712,0.13963963963963963,0.08062729652510744,0.0036063006593530234,-0.01794759299438594,-0.039501486648124896,0.04281309097432585
full21,VTI,6,model,ridge,sign_hold_vs_sell,222,0.5,0.010466315208479038,0.0,2.3235219762823465,0.26576576576576577,0.07376728197598142,0.010466315208479038,-0.011087578445259925,-0.03264147209899888,0.12425345180924885
full21,VTI,6,model,ridge,tiered_25_50_100,222,0.13851351351351351,0.0029113602077823365,0.0,0.6463219661276787,0.12162162162162163,0.0813222369766781,0.0029113602077823365,-0.01864253344595662,-0.040196427099695585,0.034562933379264825
full21,VTI,6,model,bayesian_ridge,sign_hold_vs_sell,222,0.527027027027027,0.02610264801651076,0.0,5.794787859665389,0.32882882882882886,0.0581309491679497,0.02610264801651076,0.004548754362771801,-0.01700513929096716,0.3098840473279255
full21,VTI,6,model,bayesian_ridge,tiered_25_50_100,222,0.23648648648648649,0.016199822665098482,0.0,3.596360631651863,0.23423423423423423,0.06803377451936198,0.016199822665098482,-0.005354070988640478,-0.026907964642379437,0.19232020484205378
full21,VTI,6,model,gbt,sign_hold_vs_sell,222,0.6441441441441441,0.035934554469079005,0.0,7.977471092135539,0.42342342342342343,0.048299042715381456,0.035934554469079005,0.014380660815340045,-0.007173232838398918,0.4266059585510407
full21,VTI,6,model,gbt,tiered_25_50_100,222,0.25675675675675674,0.01101171455632888,0.0,2.4446006315050113,0.27927927927927926,0.07322188262813158,0.01101171455632888,-0.010542179097410079,-0.032096072751149035,0.13072829517436704
full21,VTI,6,ensemble,ensemble,sign_hold_vs_sell,222,0.5855855855855856,0.02111938981094792,0.0,4.688504538030438,0.35135135135135137,0.06311420737351255,0.02111938981094792,-0.00043450384279104267,-0.02198839749653,0.25072406399431385
full21,VTI,6,ensemble,ensemble,tiered_25_50_100,222,0.1858108108108108,0.009745950381223934,0.0,2.1636009846317132,0.21171171171171171,0.07448764680323652,0.009745950381223934,-0.011807943272515027,-0.03336183692625399,0.11570146244474859
full21,VOO,6,heuristic,always_sell_100,always_sell_100,180,0.0,0.0,0.0,0.0,0.0,0.07603471777565315,0.0,0.00143615710128338,0.00287231420256676,0.0
full21,VOO,6,heuristic,always_sell_50,always_sell_50,180,0.5,-0.00143615710128338,0.02136414752518151,-0.2585082782310084,0.6111111111111112,0.07747087487693655,-0.00143615710128338,0.0,0.00143615710128338,-0.018888175603161736
full21,VOO,6,heuristic,always_hold_100,always_hold_100,180,1.0,-0.00287231420256676,0.04272829505036302,-0.5170165564620168,0.6111111111111112,0.07890703197821992,-0.00287231420256676,-0.00143615710128338,0.0,-0.03777635120632347
full21,VOO,6,baseline,historical_mean,sign_hold_vs_sell,108,0.6666666666666666,0.02386081467101719,0.0,2.5769679844698565,0.4074074074074074,0.07541613497757467,0.02386081467101719,-0.0033493912218509085,-0.03055959711471901,0.24034596908423073
full21,VOO,6,baseline,historical_mean,tiered_25_50_100,108,0.25,0.004025842882479435,0.0,0.43479103130777896,0.25925925925925924,0.09525110676611243,0.004025842882479435,-0.023184363010388665,-0.05039456890325677,0.04055163758283882
full21,VOO,6,baseline,last_value,sign_hold_vs_sell,108,0.7777777777777778,0.026230765276349183,0.010900379773088109,2.832922649845712,0.5092592592592593,0.07304618437224265,0.026230765276349183,-0.0009794406165189121,-0.028189646509387017,0.264218082537765
full21,VOO,6,baseline,last_value,tiered_25_50_100,108,0.3611111111111111,0.006237722152996993,0.0,0.6736739925236752,0.3333333333333333,0.09303922749559489,0.006237722152996993,-0.020972483739871105,-0.04818268963273921,0.06283152509294959
full21,VOO,6,baseline,zero,sign_hold_vs_sell,108,0.0,0.0,0.0,0.0,0.0,0.09927694964859185,0.0,-0.027210205892868104,-0.05442041178573621,0.0
full21,VOO,6,baseline,zero,tiered_25_50_100,108,0.0,0.0,0.0,0.0,0.0,0.09927694964859185,0.0,-0.027210205892868104,-0.05442041178573621,0.0
full21,VOO,6,model,elasticnet,sign_hold_vs_sell,108,0.5370370370370371,0.02338398101210856,0.0,2.525469949307724,0.3148148148148148,0.07589296863648329,0.02338398101210856,-0.0038262248807595413,-0.03103643077362764,0.235542903915564
full21,VOO,6,model,elasticnet,tiered_25_50_100,108,0.2847222222222222,0.015021366619045805,0.0,1.622307594856947,0.28703703703703703,0.08425558302954606,0.015021366619045805,-0.012188839273822295,-0.0393990451666904,0.15130769702550856
full21,VOO,6,model,ridge,sign_hold_vs_sell,108,0.5925925925925926,0.024964691632445815,0.0,2.696186696304148,0.35185185185185186,0.07431225801614605,0.024964691632445815,-0.0022455142604222824,-0.02945572015329038,0.25146513587305724
full21,VOO,6,model,ridge,tiered_25_50_100,108,0.28703703703703703,0.01950892385955493,0.0,2.1069637768319325,0.3425925925925926,0.07976802578903694,0.01950892385955493,-0.0077012820333131745,-0.03491148792618128,0.19651010560467644
full21,VOO,6,model,bayesian_ridge,sign_hold_vs_sell,108,0.6018518518518519,0.04723514944547424,0.0,5.101396140111218,0.4074074074074074,0.05204180020311761,0.04723514944547424,0.020024943552606138,-0.0071852623402619605,0.4757917080719273
full21,VOO,6,model,bayesian_ridge,tiered_25_50_100,108,0.37037037037037035,0.036415788788918754,0.0,3.9329051892032254,0.4074074074074074,0.0628611608596731,0.036415788788918754,0.009205582896050652,-0.018004622996817446,0.3668101096762019
full21,VOO,6,model,gbt,sign_hold_vs_sell,108,0.6296296296296297,0.039529053167995216,0.0,4.269137742143483,0.42592592592592593,0.05974789648059664,0.039529053167995216,0.012318847275127113,-0.014891358617740984,0.3981694976317788
full21,VOO,6,model,gbt,tiered_25_50_100,108,0.24768518518518517,0.016898447865668093,0.0,1.8250323694921542,0.3055555555555556,0.08237850178292377,0.016898447865668093,-0.01031175802720001,-0.03752196392006812,0.1702152204059765
full21,VOO,6,ensemble,ensemble,sign_hold_vs_sell,108,0.5925925925925926,0.02868302195881191,0.0,3.0977663715516863,0.3611111111111111,0.07059392768977994,0.02868302195881191,0.0014728160659438114,-0.02573738982692429,0.28891925124956486
full21,VOO,6,ensemble,ensemble,tiered_25_50_100,108,0.29398148148148145,0.025018957183800643,0.0,2.7020473758504693,0.35185185185185186,0.07425799246479121,0.025018957183800643,-0.0021912487090674612,-0.029401454601935564,0.25201174363595596
full21,VGT,6,heuristic,always_sell_100,always_sell_100,259,0.0,0.0,0.0,0.0,0.0,0.060285034093626136,0.0,0.0084114608900556,0.0168229217801112,0.0
full21,VGT,6,heuristic,always_sell_50,always_sell_50,259,0.5,-0.0084114608900556,0.0031523543338907167,-2.1785683705244003,0.5212355212355212,0.06869649498368173,-0.0084114608900556,0.0,0.0084114608900556,-0.1395281767111903
full21,VGT,6,heuristic,always_hold_100,always_hold_100,259,1.0,-0.0168229217801112,0.0063047086677814335,-4.357136741048801,0.5212355212355212,0.07710795587373734,-0.0168229217801112,-0.0084114608900556,0.0,-0.2790563534223806
full21,VGT,6,baseline,historical_mean,sign_hold_vs_sell,186,0.5483870967741935,-0.013479802510100444,0.0,-2.5072432668786826,0.27956989247311825,0.08009460900985436,-0.013479802510100444,-0.016048876577866536,-0.018617950645632618,-0.20235444968454935
full21,VGT,6,baseline,historical_mean,tiered_25_50_100,186,0.0,0.0,0.0,0.0,0.0,0.06661480649975392,0.0,-0.002569074067766086,-0.005138148135532172,0.0
full21,VGT,6,baseline,last_value,sign_hold_vs_sell,186,0.5483870967741935,-0.019931784379749972,0.0,-3.707311894633495,0.25268817204301075,0.08654659087950389,-0.019931784379749972,-0.02250085844751606,-0.025069932515282146,-0.2992095215321778
full21,VGT,6,baseline,last_value,tiered_25_50_100,186,0.25806451612903225,-0.0077017915903394825,0.0,-1.4325332358031437,0.24731182795698925,0.07431659809009339,-0.0077017915903394825,-0.010270865658105569,-0.012839939725871658,-0.11561681246297599
full21,VGT,6,baseline,zero,sign_hold_vs_sell,186,0.0,0.0,0.0,0.0,0.0,0.06661480649975392,0.0,-0.002569074067766086,-0.005138148135532172,0.0
full21,VGT,6,baseline,zero,tiered_25_50_100,186,0.0,0.0,0.0,0.0,0.0,0.06661480649975392,0.0,-0.002569074067766086,-0.005138148135532172,0.0
full21,VGT,6,model,elasticnet,sign_hold_vs_sell,186,0.45698924731182794,0.0036924366605341403,0.0,0.6867932188593501,0.24193548387096775,0.06292236983921978,0.0036924366605341403,0.001123362592768055,-0.001445711474998032,0.05542966878613962
full21,VGT,6,model,elasticnet,tiered_25_50_100,186,0.03225806451612903,-0.00040532915545850415,0.0,-0.07539122291528177,0.026881720430107527,0.06702013565521242,-0.00040532915545850415,-0.0029744032232245908,-0.005543477290990677,-0.006084670612381071
full21,VGT,6,model,ridge,sign_hold_vs_sell,186,0.3333333333333333,0.0011703284308514125,0.0,0.21768108813836273,0.16666666666666666,0.06544447806890251,0.0011703284308514125,-0.0013987456369146736,-0.00396781970468076,0.017568593115341945
full21,VGT,6,model,ridge,tiered_25_50_100,186,0.03225806451612903,0.005605526027627955,0.0,1.0426278411387997,0.053763440860215055,0.06100928047212596,0.005605526027627955,0.0030364519598618696,0.00046737789209578255,0.0841483496262751
full21,VGT,6,model,bayesian_ridge,sign_hold_vs_sell,186,0.3279569892473118,0.023259564442206733,0.0,4.326278986250452,0.22580645161290322,0.04335524205754718,0.023259564442206733,0.020690490374440644,0.01812141630667456,0.349165083025388
full21,VGT,6,model,bayesian_ridge,tiered_25_50_100,186,0.13172043010752688,0.012737250020675241,0.0,2.369128503845595,0.15591397849462366,0.05387755647907867,0.012737250020675241,0.010168175952909156,0.007599101885143069,0.19120749109617688
