target_variant,item_type,item_name,horizon_months,n_benchmarks,mean_ic,median_ic,mean_hit_rate,mean_oos_r2,mean_mae,pass_rate,gate_status,mean_brier_score,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_base_rate,mean_predicted_positive_rate
binary_outperform,ensemble,ensemble,6,21,0.15873510812457234,0.10388788225607476,0.6244101244101243,-0.7684124143090509,0.48585501507536594,0.0,FAIL,0.28681407860721386,0.5692835692835693,0.5641212545320076,0.6696358946552314,0.5523027684226807,0.6001716001716001,0.4972114972114972
binary_outperform,model,bayesian_ridge,6,21,0.08807121870508618,0.10630341942278713,0.5943130853872546,-55.63031658698769,0.7911863464149669,0.0,FAIL,0.3154959339615349,0.5515718646981546,0.5156600726574562,0.6783628281231016,0.5949325606954454,0.6655357126926857,0.5849306306482126
binary_outperform,model,ridge,6,21,0.027906315787672917,0.06684995316966655,0.6171425406067668,-0.8026415098237223,0.5071997394483161,0.0,FAIL,0.29386444206766094,0.5617366502207944,0.4922168616245705,0.6631089572861641,0.6556888690268251,0.6655357126926857,0.6596547567092867
binary_outperform,model,gbt,6,21,0.008624378115557012,-0.004007958156296512,0.6355211384989311,-0.5759401734520864,0.4865543418223506,0.0,FAIL,0.3230160117789486,0.5417353916174632,0.5163943706561885,0.6778612320553903,0.5866815305036225,0.6655357126926857,0.5751161325778456
binary_outperform,model,elasticnet,6,21,-0.015773801237570988,-0.008704053743279995,0.6455189917021406,-0.4374400243841715,0.47455467198586687,0.0,FAIL,0.2724821859675272,0.5947455470366808,0.5033433212178344,0.6705067498701832,0.7358900060100296,0.6655357126926857,0.7337972010052839
binary_outperform,baseline,last_value,6,21,-0.03522076590267152,-0.03489295558907045,0.5588381893423274,-1.0639575464186983,0.44116181065767257,0.0,FAIL,0.44116181065767257,0.5588381893423274,0.4832844678947352,0.6532809114253533,0.6833062793130337,0.6655357126926857,0.695856944124783
binary_outperform,baseline,historical_mean,6,21,-0.11922152033461161,-0.0975471830661007,0.6655357126926857,-0.12899649251525078,0.45052969422262157,0.0,FAIL,0.24064895968191108,0.6375209738537506,0.507379996583617,0.6725849354471022,0.8482545662181955,0.6655357126926857,0.8427163332772739
binary_outperform,baseline,zero,6,21,,,0.3344642873073142,-2.180635247884698,0.6655357126926857,0.0,FAIL,0.6655357126926857,0.3344642873073142,0.5,0.0,0.0,0.6655357126926857,0.0
binary_outperform_3pct,ensemble,ensemble,6,21,0.16058355153446313,0.10439652480575577,0.5611325611325612,-0.7272892253326967,0.4901788887241566,0.0,FAIL,0.29024076866307097,0.5501930501930502,0.5513510277119993,0.6068140586719062,0.4472383764391853,0.5345345345345345,0.39575289575289574
binary_outperform_3pct,model,bayesian_ridge,6,21,0.11297596871876098,0.1277523841979681,0.5249433515098731,-126.97063775115406,0.9361264964577829,0.0,FAIL,0.3281881823684539,0.542154557465964,0.534313964513878,0.6444641440619099,0.5263788822113268,0.6068759016732722,0.4967210996218731
binary_outperform_3pct,model,gbt,6,21,0.03245595367553114,0.0069536295261878696,0.5863597843024798,-0.44399551706784035,0.4867166506290029,0.0,FAIL,0.31999374266454045,0.5335414358516682,0.5183988095418671,0.6249221506765403,0.5521976219763092,0.6068759016732722,0.5355780402526126
binary_outperform_3pct,model,ridge,6,21,0.019859805599785167,-0.006940314090895495,0.550388477871111,-0.6054729840326114,0.5193472535623952,0.0,FAIL,0.3078905815843589,0.5284676665232572,0.4990522268069712,0.6189910390233734,0.5408035862081332,0.6068759016732722,0.5361163011341585
binary_outperform_3pct,model,elasticnet,6,21,-0.018804713402773805,-0.053471922498568844,0.5755164783829103,-0.4897208359069477,0.5079773723379374,0.0,FAIL,0.2958058776581326,0.5398157520833342,0.4952794580962614,0.6102926420427971,0.5982530926363676,0.6068759016732722,0.5976027127072341
binary_outperform_3pct,baseline,last_value,6,21,-0.03857025038742235,-0.07280814607143535,0.5258191290570897,-1.0738452942225978,0.4741808709429102,0.0,FAIL,0.4741808709429102,0.5258191290570897,0.4807903618628491,0.5912116339535992,0.6311251566550021,0.6068759016732722,0.6475157135538263
binary_outperform_3pct,baseline,historical_mean,6,21,-0.11113076264531656,-0.0772373646218922,0.6068759016732722,-0.13310856433065926,0.48210694227357614,0.0,FAIL,0.25829649445764485,0.573449935955651,0.49799652742070627,0.6053374502447552,0.7124387399266213,0.6068759016732722,0.7127605529413094
binary_outperform_3pct,baseline,zero,6,21,,,0.39312409832672773,-1.6949635553287097,0.6068759016732722,0.0,FAIL,0.6068759016732722,0.39312409832672773,0.5,0.0,0.0,0.6068759016732722,0.0
continuous_relative_return,model,bayesian_ridge,6,21,0.18849719085255048,0.1939073798656341,0.5493696996925751,-56.46786332429214,0.25436454645544837,0.0,FAIL,,,,,,,
continuous_relative_return,ensemble,ensemble,6,21,0.12960370691602333,0.15585228146897973,0.5767964382402277,-0.7078943011619084,0.16254026616290618,0.0,FAIL,,,,,,,
continuous_relative_return,model,gbt,6,21,0.10976071276005694,0.12189317994034707,0.6090183317951944,-0.6529329734355115,0.15877263474575298,0.0,FAIL,,,,,,,
continuous_relative_return,model,elasticnet,6,21,0.07286948986439737,0.06402223369669105,0.5711860702952554,-1.119471266121197,0.17294661709638,0.0,FAIL,,,,,,,
continuous_relative_return,model,ridge,6,21,0.054699547647343166,0.07433849572887005,0.5283744776524154,-0.9999362182773865,0.17216942814100744,0.0,FAIL,,,,,,,
continuous_relative_return,baseline,last_value,6,21,-0.1104261485018859,-0.09180512494585306,0.5588381893423274,-0.9851794153676827,0.18044748957799356,0.0,FAIL,,,,,,,
continuous_relative_return,baseline,historical_mean,6,21,-0.12788901888395837,-0.1145958705242536,0.6276528363870468,-0.16910342537296869,0.13920505728845156,0.0,FAIL,,,,,,,
continuous_relative_return,baseline,zero,6,21,,,0.0,-0.23873639692431606,0.14544707331978718,0.0,FAIL,,,,,,,
