model_type,slice_name,n_obs,mean_ic,mean_hit_rate,oos_r2,mae
bayesian_ridge,2020_2021,504,0.021011788767629963,0.49206349206349204,-1.639679246188758,0.22032650572036513
bayesian_ridge,high_vix,918,0.05751273034389089,0.49782135076252726,-332.91078861170314,0.42670463707047973
bayesian_ridge,low_vix,2352,0.28770031574955646,0.5714285714285714,-7.860948534204555,0.19752005156408697
bayesian_ridge,post_2022,924,0.237379035125514,0.5670995670995671,-216.63928638259668,0.42766636769575694
bayesian_ridge,pre_2020,1842,0.26955652026687804,0.5586319218241043,-4.431158245441559,0.1900508878802875
bayesian_ridge,trailing_36m,777,0.17656582058431902,0.4942084942084942,-234.072752114203,0.49041049217128924
elasticnet,2020_2021,504,0.09414747962778675,0.5079365079365079,-0.8910959945889012,0.1839671809365741
elasticnet,high_vix,918,0.011806320767799687,0.5032679738562091,-2.336905957538479,0.19384325505435854
elasticnet,low_vix,2352,0.21571584036015418,0.5931122448979592,-1.0005180406635015,0.1643155913289576
elasticnet,post_2022,924,0.058739834760462774,0.5616883116883117,-0.7160268286693461,0.20101006137906632
elasticnet,pre_2020,1842,0.27046088581784966,0.5874049945711184,-1.8716395738140927,0.15524735235576476
elasticnet,trailing_36m,777,-0.032356619181040706,0.48906048906048905,-0.7901702597783002,0.2212701053795362
ensemble,2020_2021,504,0.14559479520800706,0.5277777777777778,-0.4399263445635839,0.16818118343973743
ensemble,high_vix,918,0.0795258094986964,0.5,-1.8292500379854646,0.18461914299909868
ensemble,low_vix,2352,0.2671062392313186,0.6020408163265306,-0.4676896910106223,0.15362234988315132
ensemble,post_2022,924,0.13324983353152367,0.5746753246753247,-0.712882638991706,0.1921066739753562
ensemble,pre_2020,1842,0.27374482285088075,0.5852334419109664,-0.899427314806323,0.1457818984752919
ensemble,trailing_36m,777,0.059019290898547794,0.5032175032175032,-0.7994863565180812,0.2129801508623369
gbt,2020_2021,504,0.19830592544135145,0.6051587301587301,-0.38014073757168787,0.16425872180005927
gbt,high_vix,918,0.11146827330023121,0.5315904139433552,-1.2097183426421916,0.18017564982605325
gbt,low_vix,2352,0.25470685792843595,0.6313775510204082,-0.3900494962027843,0.14864017665890145
gbt,post_2022,924,0.08177717361260045,0.6190476190476191,-0.2660076978943664,0.17424244022233615
gbt,pre_2020,1842,0.22768203051227587,0.5950054288816504,-0.8470790708882077,0.14724024510824357
gbt,trailing_36m,777,0.05673919454599041,0.5598455598455598,-0.2977463584952331,0.18909765921679772
ridge,2020_2021,504,0.06032648990545179,0.5119047619047619,-0.38385221196263686,0.16857454640555514
ridge,high_vix,918,0.009896110274149501,0.4782135076252723,-1.6746471414603654,0.17092635556863492
ridge,low_vix,2352,0.1639587706628483,0.5408163265306123,-0.9452418250853827,0.17164467701059663
ridge,post_2022,924,0.07382580114974481,0.5162337662337663,-0.629490553426969,0.19575006790422075
ridge,pre_2020,1842,0.17216359472248619,0.5298588490770901,-1.6999128678986146,0.16003476688872442
ridge,trailing_36m,777,-0.03290269457815108,0.435006435006435,-0.7106458120641828,0.2173091729635848
