benchmark,candidate_name,model_type,n_features,policy_name,threshold,notes,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign
VXUS,ridge_lean_v1,ridge,12,regression_sign,,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.7407407407407407,0.08464142323787795,0.04534418708739859,0.0
VXUS,ridge_lean_v1,ridge,12,classifier_only_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.5370370370370371,0.08794514807142534,0.04864791192094597,0.0033037248335473918
VXUS,ridge_lean_v1,ridge,12,hybrid_confirm_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.5185185185185185,0.08520401106967047,0.045906774919191096,0.000562587831792527
VXUS,ridge_lean_v1,ridge,12,classifier_only_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.5185185185185185,0.08664901505581547,0.04735177890533611,0.0020075918179375263
VXUS,ridge_lean_v1,ridge,12,hybrid_confirm_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.5,0.08390787805406061,0.04461064190358125,-0.0007335451838173385
VXUS,ridge_lean_v1,ridge,12,classifier_only_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.5092592592592593,0.08508938872896867,0.04579215257848931,0.00044796549109071826
VXUS,ridge_lean_v1,ridge,12,hybrid_confirm_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.41492087989558624,-0.026757702810232153,0.21111814521606292,0.7407407407407407,0.7705592105263157,0.9137931034482759,0.6973684210526315,0.7037037037037037,0.5370370370370371,0.49074074074074076,0.08234825172721381,0.04305101557673444,-0.0022931715106641326
VXUS,gbt_lean_plus_two,gbt,13,regression_sign,,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.9259259259259259,0.07924530159085216,0.039948065440372806,0.0
VXUS,gbt_lean_plus_two,gbt,13,classifier_only_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.7777777777777778,0.07620318514766872,0.036905948997189346,-0.0030421164431834458
VXUS,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.7592592592592593,0.07507720679555724,0.03577997064507786,-0.004168094795294924
VXUS,gbt_lean_plus_two,gbt,13,classifier_only_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.7777777777777778,0.07620318514766872,0.036905948997189346,-0.0030421164431834458
VXUS,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.7592592592592593,0.07507720679555724,0.03577997064507786,-0.004168094795294924
VXUS,gbt_lean_plus_two,gbt,13,classifier_only_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.75,0.0728852590760585,0.03358802292557915,-0.006360042514793662
VXUS,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.18051255183574985,-0.0666231153278396,0.24387137916971277,0.7037037037037037,0.6085526315789473,0.7619047619047619,0.8421052631578947,0.7037037037037037,0.7777777777777778,0.7407407407407407,0.07285048165668362,0.03355324550620427,-0.006394819934168544
VXUS,elasticnet_lean_v1,elasticnet,13,regression_sign,,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.8888888888888888,0.08788178127713653,0.04858454512665715,0.0
VXUS,elasticnet_lean_v1,elasticnet,13,classifier_only_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.4166666666666667,0.029156261442424163,-0.010140974708055207,-0.058725519834712366
VXUS,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.4074074074074074,0.028490742717323974,-0.010806493433155396,-0.05939103855981255
VXUS,elasticnet_lean_v1,elasticnet,13,classifier_only_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.35185185185185186,0.030405704965547148,-0.008891531184932223,-0.05747607631158938
VXUS,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.35185185185185186,0.030405704965547148,-0.008891531184932223,-0.05747607631158938
VXUS,elasticnet_lean_v1,elasticnet,13,classifier_only_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.3148148148148148,0.027768120619635347,-0.011529115530844018,-0.06011366065750118
VXUS,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.18591508753466218,-0.04395174183287898,0.4040165548735531,0.4351851851851852,0.4629934210526316,0.6666666666666666,0.39473684210526316,0.7037037037037037,0.4166666666666667,0.3148148148148148,0.027768120619635347,-0.011529115530844018,-0.06011366065750118
VEA,ridge_lean_v1,ridge,12,regression_sign,,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.317509222632117,0.038017631548993513,0.3192171863821112,0.5666666666666667,0.5671420083184788,0.717948717948718,0.5656565656565656,0.66,0.52,0.8333333333333334,0.07226788186663813,0.03786559093115328,0.0
VEA,ridge_lean_v1,ridge,12,classifier_only_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.317509222632117,0.038017631548993513,0.3192171863821112,0.5666666666666667,0.5671420083184788,0.717948717948718,0.5656565656565656,0.66,0.52,0.52,0.05588002852049032,0.02147773758500547,-0.016387853346147806
VEA,ridge_lean_v1,ridge,12,hybrid_confirm_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.317509222632117,0.038017631548993513,0.3192171863821112,0.5666666666666667,0.5671420083184788,0.717948717948718,0.5656565656565656,0.66,0.52,0.52,0.05588002852049032,0.02147773758500547,-0.016387853346147806
