experiment_mode,step,candidate_feature,policy_name,threshold,feature_set_key,n_features,feature_columns,n_benchmarks,mean_regression_ic,mean_regression_oos_r2,mean_brier_score,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_policy_return,mean_uplift_vs_sell_50,mean_uplift_vs_regression_sign,mean_avg_hold_fraction
forward_add,2,buyback_acceleration,classifier_only,0.5,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.04901973667063629,0.013271942070001883,-0.020836698390544837,0.5981036324786324
forward_add,2,buyback_acceleration,classifier_only,0.55,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.024160878778668484,-0.011586915821965926,-0.04569555628251264,0.31707392144892144
forward_add,2,buyback_acceleration,classifier_only,0.6,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.01104272474519773,-0.02470506985543668,-0.05881371031598339,0.1787530525030525
forward_add,2,buyback_acceleration,hybrid_confirm,0.5,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.04749084753924627,0.011743052938611857,-0.02236558752193486,0.4214631664631665
forward_add,2,buyback_acceleration,hybrid_confirm,0.55,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.02140721600733454,-0.014340578593299865,-0.04844921905384659,0.21475783475783475
forward_add,2,buyback_acceleration,hybrid_confirm,0.6,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.008802762091461188,-0.026945032509173218,-0.06105367296971994,0.09618233618233618
forward_add,2,buyback_acceleration,regression_sign,,investment_book_yield|buyback_acceleration,2,"investment_book_yield,buyback_acceleration",7,0.34416509131330436,-0.24135688947362957,0.26981443160388824,0.5733704721204721,0.5404237060304942,0.6970277012063305,0.6245128398940437,0.06985643506118112,0.03410864046054672,0.0,0.6544022181522181
forward_add,2,buyback_yield,classifier_only,0.5,investment_book_yield|buyback_yield,2,"investment_book_yield,buyback_yield",7,0.34416509131330436,-0.24135688947362957,0.2593803854086621,0.5448957061457061,0.5183940814356641,0.6842554510538256,0.5775174768245154,0.04359020402847531,0.007842409427840905,-0.02626623103270581,0.5637446581196582
forward_add,2,buyback_yield,classifier_only,0.55,investment_book_yield|buyback_yield,2,"investment_book_yield,buyback_yield",7,0.34416509131330436,-0.24135688947362957,0.2593803854086621,0.5448957061457061,0.5183940814356641,0.6842554510538256,0.5775174768245154,0.012255489352927761,-0.02349230524770665,-0.057600945708253366,0.22685795685795687
forward_add,2,buyback_yield,classifier_only,0.6,investment_book_yield|buyback_yield,2,"investment_book_yield,buyback_yield",7,0.34416509131330436,-0.24135688947362957,0.2593803854086621,0.5448957061457061,0.5183940814356641,0.6842554510538256,0.5775174768245154,0.005133408058084181,-0.030614386542550227,-0.06472302700309694,0.14597858160358163
forward_add,2,buyback_yield,hybrid_confirm,0.5,investment_book_yield|buyback_yield,2,"investment_book_yield,buyback_yield",7,0.34416509131330436,-0.24135688947362957,0.2593803854086621,0.5448957061457061,0.5183940814356641,0.6842554510538256,0.5775174768245154,0.04121529832450154,0.005467503723867126,-0.028641136736679593,0.3853233109483109
