as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2025-06-30,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1603025044521339,0.15867396406974238,0.6266343279598591,-0.2548735668782085,0.17624406408136983,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16587592793421926,0.14109569621668122,0.6502993336206567,-0.31699742847017376,0.1518407578195773,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.15409533701743938,0.12910359294526774,0.6268549458500884,-0.31338544808905855,0.1445968977389484,False,True,True,True,True,True
2025-07-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.052676261248378015,-0.13638377575236404,0.6434146415676366,-0.15179178459109122,0.0016144071981528294,True,True,True,False,True,True
2025-07-31,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.06881767170029966,0.1283536849648988,0.5725574631340744,-1.0351110128229033,0.138423844759214,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1396836279667942,0.14788584884901357,0.6503288946485364,-0.18422962569477153,0.17005321639131257,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14820298033421547,0.21897529529589913,0.6773044537099642,-0.09954903196874376,0.23139333977955684,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1107087698801309,0.18890026855315556,0.6424753493351364,-0.20619033146299914,0.2034418701770916,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10274131930933753,0.210500311397805,0.6460633122980993,-0.1808106729110166,0.22488281141918615,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.12389552151633153,0.16322418846576212,0.6331786367165001,-0.2783370190063421,0.17491032161884074,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10321841255507119,0.1480216866102117,0.6306841928981043,-0.2810282754159028,0.1593544676497834,False,True,True,True,True,True
2025-08-29,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05164367618829994,-0.14988405684042405,0.6355455006311199,-0.1555119357051855,-0.011906904964802172,True,True,True,False,True,True
