as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow
2025-11-28,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-11-28,live_production,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.030842646509390868,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-11-28,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2025-12-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-12-31,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.03696525248793138,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-12-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-01-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-01-30,live_production,production_4_model_ensemble,current_production_mapping,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.022258338080287342,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,True,True,True
2026-01-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-02-27,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-02-27,live_production,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.0007097223124911956,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2026-02-27,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-03-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-03-31,live_production,production_4_model_ensemble,current_production_mapping,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.024129451222855845,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,True,True,True
2026-03-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
