candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,benchmark,ic,ic_delta,hit_rate,hit_rate_delta,oos_r2,oos_r2_delta,mae,mae_delta,policy_return_sign,policy_return_sign_delta,policy_return_neutral_3pct,policy_return_neutral_3pct_delta
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VOO,0.15703030476244914,-0.07024112340068783,0.49074074074074076,0.037037037037037035,-7.752153788199417,-0.520446648681844,0.27552109351835313,0.021890986049973193,0.039778631285740024,0.0025927243342844034,0.037484407877612105,0.0011902539145358174
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VXUS,0.010336581973382108,-0.08982823172997227,0.4444444444444444,-0.037037037037037035,-5.501961456983775,-1.134693946090219,0.2606610460263635,0.022925255737282435,0.03549421172407722,-0.007734478124284627,0.03951628805682065,-0.00381816764055834
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VWO,0.08491016259005096,-0.011597141148665974,0.5172413793103449,-0.011494252873563204,-2.2070516822090855,-0.9193787508950098,0.22549491415845557,0.028781468320532494,0.056019670775104904,-0.0025930480877097498,0.057495953078939906,-0.0002484334431733931
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VMBS,0.3549343704423918,0.04828807556080278,0.6,-0.025000000000000022,-5.503824785350869,-0.5900190728477508,0.21692254870368324,0.026695334617100552,0.08334134541420081,-0.0027596580209226507,0.08025153214301237,-0.004801772136296345
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,BND,0.32985110449353305,0.04683941508511491,0.5733333333333334,-0.046666666666666634,-2.6547156133842553,-1.064508018530486,0.18445449409198117,0.02582478549806258,0.06927597181134452,-0.004613270967164046,0.07187284037906168,-0.0018095106919372578
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,GLD,0.28606850005658613,0.046966470158543994,0.5722222222222222,-0.022222222222222254,-9.489683514293604,-1.1508333765605574,0.2918737273609278,0.03554459273622518,0.04836677228550768,-0.0018013832342000796,0.04931433541709858,0.0010493263850115259
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,DBC,0.11030517156726279,0.03618629182885287,0.5238095238095238,-0.011904761904761862,-453.4115587017688,18.560886663584995,0.6071104922216403,-0.00675716499435286,0.07030782868456052,-0.0013328229250500062,0.07167199568562121,-0.0017735346710580357
bayesian_ridge_current,bayesian_ridge,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VDE,-0.04565367243844974,0.027774519789705437,0.5277777777777778,0.02777777777777779,-523.2525614653189,31.995408689308988,0.7315268694429895,-0.009052026200646157,0.038875759945866076,0.005690595598680737,0.03859778989995297,0.004624853798987277
elasticnet_current,elasticnet,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VOO,-0.12325380672976144,-0.05017506891190998,0.3611111111111111,0.0,-1.283418938010155,-0.05212882539846486,0.20020005668285423,0.0032613323665764693,0.01313301900859422,-0.001861118716072016,0.012519439274385492,-0.007149651816487407
elasticnet_current,elasticnet,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,VXUS,-0.1293662802375477,-0.055254075788674126,0.6666666666666666,0.0,-0.6423965152557889,-0.05314154407462213,0.17416625707917402,0.0013348424357196298,0.07164379786826865,0.0,0.07041116291515856,-0.0019585898923507317
