variant,n_benchmarks,consensus,mean_predicted_return,mean_ic,mean_hit_rate,mean_prob_outperform,confidence_tier,weight_mode,score_col,lambda_mix,top_benchmark,top_benchmark_weight,recommendation_mode,recommended_sell_pct,is_live_path
equal_weight,8,NEUTRAL,-0.044945472400761265,0.06706980913698629,0.6400510480174105,0.5,LOW,equal,,0.0,VOO,0.125,DEFER-TO-TAX-DEFAULT,0.5,False
quality_weighted,8,NEUTRAL,-0.046569664678169705,0.097975750276427,0.6485918001064483,0.5,LOW,shrink_to_equal,nw_ic,0.25,BND,0.17006630419032442,DEFER-TO-TAX-DEFAULT,0.5,True
