benchmark,version,n,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate
VOO,v46,90.0,0.6555555555555556,0.48377403846153844,0.1944530761705023,0.5499074845314085,0.7037037037037037,0.890625,0.7111111111111111,0.9
VXUS,v46,90.0,0.7666666666666667,0.5,0.18408631730969205,0.5304176736248709,0.7666666666666667,1.0,0.7666666666666667,1.0
VWO,v46,156.0,0.5384615384615384,0.4360902255639098,0.30252835359011004,1.072629021081645,0.6944444444444444,0.6578947368421053,0.7307692307692307,0.6923076923076923
VMBS,v46,102.0,0.803921568627451,0.5943562610229277,0.15588794457669664,0.5219218476706414,0.8279569892473119,0.9506172839506173,0.7941176470588235,0.9117647058823529
BND,v46,132.0,0.7424242424242424,0.5500502176096418,0.19250381165219071,0.7422415495693016,0.8,0.8932038834951457,0.7803030303030303,0.8712121212121212
GLD,v46,162.0,0.5987654320987654,0.6279985007496252,0.29620375114155145,1.2497539712685573,0.8227848101265823,0.5603448275862069,0.7160493827160493,0.4876543209876543
DBC,v46,150.0,0.7066666666666667,0.5851420899530096,0.2400409329841068,1.3201325143875657,0.768595041322314,0.8532110091743119,0.7266666666666667,0.8066666666666666
VDE,v46,162.0,0.5370370370370371,0.4411472148541114,0.33720907115837134,1.544022573451464,0.6090225563909775,0.7788461538461539,0.6419753086419753,0.8209876543209876
POOLED,v46,1044.0,0.6532567049808429,0.5291790214974055,0.25018492262297937,1.02143963786507,0.7426829268292683,0.8013157894736842,0.7279693486590039,0.7854406130268199
