variant,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio,hold_fraction_changes,oos_r2,ic,hit_rate,mae,selected_variant,selected_next
regression_only_quality_weighted,162,0.6944444444444444,0.06758803977853373,0.05535524296039462,10.949262444122464,0.691358024691358,0.030437552911095896,0.06758803977853373,0.026550082993187247,-0.014487873792159248,0.6894938140545824,21,-0.044533674886447994,0.3619829485393635,0.7222222222222222,0.09665424853511431,classifier_only_benchmark_panel,False
classifier_only_benchmark_panel,162,1.0,0.082075913570693,0.09231849269710032,13.296297998452264,0.7283950617283951,0.01594967911893665,0.082075913570693,0.0410379567853465,0.0,0.8372906637816839,1,,,,,classifier_only_benchmark_panel,True
hybrid_benchmark_panel_35_65,162,0.7253086419753086,0.06808926929136705,0.05758542220727235,11.030461625201463,0.7283950617283951,0.02993632339826257,0.06808926929136705,0.027051312506020574,-0.01398664427932592,0.6946070655951299,17,,,,,classifier_only_benchmark_panel,False
hybrid_benchmark_panel_30_70,162,0.7191358024691358,0.06839088732509113,0.05758542220727235,11.079323746664764,0.7283950617283951,0.029634705364538494,0.06839088732509113,0.027352930539744642,-0.013685026245601847,0.6976839970927957,17,,,,,classifier_only_benchmark_panel,False
classifier_only_best_basket,162,0.9012345679012346,0.07802883731011132,0.06325227515106994,12.640671644238033,0.7160493827160493,0.01999675537951831,0.07802883731011132,0.03699088052476483,-0.004047076260581664,0.7960047490573977,15,,,,,classifier_only_benchmark_panel,False
hybrid_best_basket_35_65,162,0.7006172839506173,0.06790739868582084,0.05454016845779118,11.000998587102975,0.7160493827160493,0.0301181940038088,0.06790739868582084,0.026869441900474342,-0.014168514884872148,0.6927517276108744,23,,,,,classifier_only_benchmark_panel,False
