horizon_months,model_name,n_obs,fold_count,n_features,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,log_loss
1,base_rate,162,27,0,0.2553395061728395,0.5308641975308642,0.5069103194103194,0.5476190476190477,0.7840909090909091,0.5432098765432098,0.7777777777777778,0.7042144563383588
1,always_up,162,27,0,0.4567901234567901,0.5432098765432098,0.5,0.5432098765432098,1.0,0.5432098765432098,1.0,6.3107893165881
1,logistic_l2_balanced,162,27,22,0.3557635519497264,0.41975308641975306,0.4282862407862408,0.453125,0.32954545454545453,0.5432098765432098,0.3950617283950617,1.0582603394681758
1,hist_gbt_depth2,162,27,22,0.33587573712411634,0.4506172839506173,0.44594594594594594,0.4943820224719101,0.5,0.5432098765432098,0.5493827160493827,0.9176853807885782
3,base_rate,156,26,0,0.22967948717948716,0.6346153846153846,0.55664695784856,0.7192982456140351,0.7663551401869159,0.6858974358974359,0.7307692307692307,0.6536562321978407
3,always_up,156,26,0,0.3141025641025641,0.6858974358974359,0.5,0.6858974358974359,1.0,0.6858974358974359,1.0,4.339487976531371
3,logistic_l2_balanced,156,26,22,0.38193721785108775,0.5128205128205128,0.5950791531565898,0.8163265306122449,0.37383177570093457,0.6858974358974359,0.3141025641025641,1.60228083735959
3,hist_gbt_depth2,156,26,22,0.3157294589265909,0.5064102564102564,0.47425138279610907,0.6666666666666666,0.5607476635514018,0.6858974358974359,0.5769230769230769,0.9124267695401647
6,base_rate,150,25,0,0.2124888888888889,0.7333333333333333,0.5,0.7333333333333333,1.0,0.7333333333333333,1.0,0.620829022060593
6,always_up,150,25,0,0.26666666666666666,0.7333333333333333,0.5,0.7333333333333333,1.0,0.7333333333333333,1.0,3.6841368821165044
6,logistic_l2_balanced,150,25,22,0.44386495413150984,0.43333333333333335,0.4386363636363636,0.6811594202898551,0.42727272727272725,0.7333333333333333,0.46,1.925895205250965
6,hist_gbt_depth2,150,25,22,0.2984361169138524,0.6066666666666667,0.5011363636363637,0.7339449541284404,0.7272727272727273,0.7333333333333333,0.7266666666666667,0.9087422426894731
12,base_rate,144,24,0,0.18453703703703703,0.7083333333333334,0.6229508196721312,0.8921568627450981,0.7459016393442623,0.8472222222222222,0.7083333333333334,0.5901689896079817
12,always_up,144,24,0,0.1527777777777778,0.8472222222222222,0.5,0.8472222222222222,1.0,0.8472222222222222,1.0,2.110703849129461
12,logistic_l2_balanced,144,24,22,0.31681926585406495,0.6319444444444444,0.5406110283159463,0.8631578947368421,0.6721311475409836,0.8472222222222222,0.6597222222222222,1.6730800928512655
12,hist_gbt_depth2,144,24,22,0.209888343738113,0.7083333333333334,0.4366616989567809,0.8278688524590164,0.8278688524590164,0.8472222222222222,0.8472222222222222,0.6600842470852786
