snapshot_date,fold_idx,train_start_date,train_end_date,target_scale,scale_column,model_name,actual_scaled_target,predicted_scaled_target,actual_dollars,predicted_dollars,feature_set
2025-11-28 00:00:00,2,,,raw_dollars,unit_scale,historical_mean,13.5,2.7,13.5,2.7,baseline_only
2023-11-30 00:00:00,0,,,raw_dollars,unit_scale,prior_positive_year,0.75,1.5,0.75,1.5,baseline_only
2024-11-29 00:00:00,1,,,raw_dollars,unit_scale,prior_positive_year,4.5,0.75,4.5,0.75,baseline_only
2025-11-28 00:00:00,2,,,raw_dollars,unit_scale,prior_positive_year,13.5,4.5,13.5,4.5,baseline_only
2023-11-30 00:00:00,0,,,raw_dollars,unit_scale,trailing_2_mean,0.75,3.0,0.75,3.0,baseline_only
2024-11-29 00:00:00,1,,,raw_dollars,unit_scale,trailing_2_mean,4.5,1.125,4.5,1.125,baseline_only
2025-11-28 00:00:00,2,,,raw_dollars,unit_scale,trailing_2_mean,13.5,2.625,13.5,2.625,baseline_only
2023-11-30 00:00:00,0,,,raw_dollars,unit_scale,trailing_2_median,0.75,3.0,0.75,3.0,baseline_only
2024-11-29 00:00:00,1,,,raw_dollars,unit_scale,trailing_2_median,4.5,1.125,4.5,1.125,baseline_only
2025-11-28 00:00:00,2,,,raw_dollars,unit_scale,trailing_2_median,13.5,2.625,13.5,2.625,baseline_only
2023-11-30 00:00:00,0,,,to_current_bvps,current_bvps,historical_mean,0.02596053997923157,0.09830016412345327,0.75,2.839891741526565,baseline_only
2024-11-29 00:00:00,1,,,to_current_bvps,current_bvps,historical_mean,0.09706643658326143,0.08021525808739785,4.5,3.7187793649317644,baseline_only
2025-11-28 00:00:00,2,,,to_current_bvps,current_bvps,historical_mean,0.22332506203473945,0.08358549378657057,13.5,5.052743099398191,baseline_only
2023-11-30 00:00:00,0,,,to_current_bvps,current_bvps,prior_positive_year,0.02596053997923157,0.048575129533678756,0.75,1.4033354922279793,baseline_only
2024-11-29 00:00:00,1,,,to_current_bvps,current_bvps,prior_positive_year,0.09706643658326143,0.02596053997923157,4.5,1.2035306334371756,baseline_only
2025-11-28 00:00:00,2,,,to_current_bvps,current_bvps,prior_positive_year,0.22332506203473945,0.09706643658326143,13.5,5.867666091458154,baseline_only
2023-11-30 00:00:00,0,,,to_current_bvps,current_bvps,trailing_2_mean,0.02596053997923157,0.09918769792263166,0.75,2.8655325929848288,baseline_only
