snapshot_date,fold_idx,train_start_date,train_end_date,target_scale,scale_column,model_name,actual_scaled_target,predicted_scaled_target,actual_dollars,predicted_dollars,feature_set
2024-11-29,1,2019-11-29,2023-11-30,to_persistent_bvps,persistent_bvps,historical_scaled_mean,0.06414313326377365,0.05127122323960792,4.5,3.5969634291086385,persistent_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_persistent_bvps,persistent_bvps,historical_scaled_mean,0.15143764807236695,0.05384560524444106,13.5,4.800098786878847,persistent_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_persistent_bvps,persistent_bvps,ridge_scaled,0.014553046825883462,0.06133844459794906,0.75,3.1611135454220642,persistent_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_persistent_bvps,persistent_bvps,ridge_scaled,0.06414313326377365,0.053929132418609076,4.5,3.783430642306972,persistent_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_persistent_bvps,persistent_bvps,ridge_scaled,0.15143764807236695,0.05427955626560866,13.5,4.838783611031445,persistent_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_price,close_price,historical_scaled_mean,0.00458099193745419,0.032515480748448615,0.75,5.323434508136007,persistent_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_price,close_price,historical_scaled_mean,0.01673609044927105,0.025531858545700007,4.5,6.865006125767818,persistent_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_price,close_price,historical_scaled_mean,0.059006075440360156,0.023772704926414215,13.5,5.438957160114308,persistent_capital_generation
2023-11-30,0,2019-11-29,2021-11-30,to_price,close_price,ridge_scaled,0.00458099193745419,0.03139325616562478,0.75,5.139703899436089,persistent_capital_generation
2024-11-29,1,2019-11-29,2023-11-30,to_price,close_price,ridge_scaled,0.01673609044927105,0.02693267184864121,4.5,7.2416568066626485,persistent_capital_generation
2025-11-28,2,2019-11-29,2024-11-29,to_price,close_price,ridge_scaled,0.059006075440360156,0.023809290706623357,13.5,5.447327620768358,persistent_capital_generation
