candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
live_production_ensemble,live_ensemble,ensemble,VOO,13,,0.02947636698533833,0.03077597541836657,0.01867936623087898,0.0048456122442700885,0.6157407407407407,108,0.08404546190707556,0.4537037037037037,0.19762661115492192,-1.4652626294530915,0.08404546190707556,0.5517265618162276,
ridge_lean_v1,model,ridge,VOO,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.03681629864848016,0.03809149324137597,0.024256067852872126,0.01216113006727949,0.5555555555555556,108,0.3687825697600198,0.5185185185185185,0.17458735761033536,-0.9566414673999963,0.3687825697600198,0.001818994954941675,
baseline_historical_mean,baseline,baseline,VOO,0,,0.017055814216141222,0.019484042540006533,0.006665364977103103,-0.006446320634089951,0.6944444444444444,108,-0.31313990675372155,0.4166666666666667,0.1661429675649001,-0.5115917712132123,-0.31313990675372155,0.03137841234964962,historical_mean
live_production_ensemble,live_ensemble,ensemble,VXUS,13,,0.06602688042461373,0.06168142315562837,0.024225340808369872,0.02238418700514901,0.7777777777777778,108,0.062457724808749414,0.6203703703703703,0.16441987733544666,-0.2909064633165275,0.062457724808749414,0.7135174761275459,
ridge_lean_v1,model,ridge,VXUS,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.07072297039884236,0.07171190901787346,0.04843501206792048,0.03241467286739409,0.7777777777777778,108,0.2904436632465442,0.6481481481481481,0.15176719140345116,-0.19321040301045045,0.2904436632465442,0.07656075254121694,
baseline_historical_mean,baseline,baseline,VXUS,0,,0.07859447230095874,0.07859447230095874,0.03929723615047937,0.03929723615047937,1.0,108,-0.3761686155902567,0.7037037037037037,0.14765615964826645,-0.11278975223046794,-0.3761686155902567,0.01761210420579981,historical_mean
live_production_ensemble,live_ensemble,ensemble,VWO,13,,0.058509328478906546,0.061276679238200016,0.02934108576954768,0.02113630715219992,0.7155172413793104,174,0.10817733990147782,0.5459770114942529,0.15295784912488244,-0.3025672535513717,0.10817733990147782,0.3871571405893921,
ridge_lean_v1,model,ridge,VWO,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.07881962775342183,0.07585033265344923,0.04671610776607932,0.035709960567449135,0.7327586206896551,174,0.38562715339275033,0.6551724137931034,0.13560104218336388,-0.1146357040433672,0.38562715339275033,0.00048741969355340476,
baseline_historical_mean,baseline,baseline,VWO,0,,0.0728512267311783,0.06629872753457247,0.025571163874361737,0.02615835544857238,0.8620689655172413,174,-0.14421049345360057,0.632183908045977,0.14502050646568881,-0.20144206686199073,-0.14421049345360057,0.30386620379028056,historical_mean
live_production_ensemble,live_ensemble,ensemble,VMBS,13,,0.10081884912742488,0.0963980881869259,0.045679086101524075,0.039596068656544754,0.8,120,0.16912285575387176,0.675,0.14158769582956837,-0.4964649484451158,0.16912285575387176,0.18942058140453194,
ridge_lean_v1,model,ridge,VMBS,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.09340507112976484,0.09562538683646847,0.05756490598681315,0.03882336730608734,0.8,120,0.24416278908257513,0.6166666666666667,0.1441758707721606,-0.5697518687759431,0.24416278908257513,0.025480925153377947,
baseline_historical_mean,baseline,baseline,VMBS,0,,0.11360403906076227,0.11360403906076227,0.05686623132749132,0.05680201953038114,1.0,120,-0.20392880932476717,0.75,0.12323531713504687,-0.1502628080895121,-0.20392880932476717,0.28240568048713943,historical_mean
live_production_ensemble,live_ensemble,ensemble,BND,13,,0.08151804244281058,0.07972004961108596,0.03690628133230162,0.030105094500003624,0.74,150,0.17145473132139208,0.6466666666666666,0.1312559079313721,-0.3981170248697248,0.17145473132139208,0.16312060713763504,
ridge_lean_v1,model,ridge,BND,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.08005525280438168,0.08057214072272265,0.046613423926040565,0.030957185611640306,0.76,150,0.2911791635183786,0.64,0.13582934691965975,-0.613860605686934,0.2911791635183786,0.007382051097486744,
baseline_historical_mean,baseline,baseline,BND,0,,0.09922991022216468,0.09915367240042058,0.05054623176914059,0.04953871728933824,0.98,150,-0.008497656200825987,0.7466666666666667,0.11267042251140864,-0.08277969660567464,-0.008497656200825987,0.9617225424806114,historical_mean
live_production_ensemble,live_ensemble,ensemble,GLD,13,,0.034772363540119686,0.040658088846774916,0.02320552507858696,0.010959399355381289,0.5666666666666667,180,0.18360443223556283,0.5722222222222222,0.18143044541907669,-0.6140889693509783,0.18360443223556283,0.1739580285167559,
ridge_lean_v1,model,ridge,GLD,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.043334670854426605,0.049373920792097424,0.019616075690570365,0.0196752313007038,0.6611111111111111,180,0.2427255985267035,0.5944444444444444,0.19197303767418533,-1.0475943554307947,0.2427255985267035,0.06612672617332764,
baseline_historical_mean,baseline,baseline,GLD,0,,0.04405486911514089,0.044251514049328575,0.017634846247752852,0.014552824557934956,0.7833333333333333,180,0.04827448476072604,0.6222222222222222,0.15661973082026462,-0.2138246908156638,0.04827448476072604,0.730274900498993,historical_mean
live_production_ensemble,live_ensemble,ensemble,DBC,13,,0.08504890962333084,0.08341720905081865,0.04405748903719485,0.0326003650811305,0.8005952380952381,168,0.06644276957496673,0.6428571428571429,0.20190135507810755,-1.1769669803641611,0.06644276957496673,0.5825960461072688,
ridge_lean_v1,model,ridge,DBC,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.07234021624251068,0.07479691599242812,0.04335179765966511,0.023980072022739985,0.8392857142857143,168,-0.012191171334423294,0.6190476190476191,0.20991010128131682,-1.3693624773489947,-0.012191171334423294,0.9270451744603634,
baseline_historical_mean,baseline,baseline,DBC,0,,0.08634822233219674,0.08984555611661703,0.04468038987359092,0.0390287121469289,0.8928571428571429,168,-0.12099466212557697,0.6607142857142857,0.1662056955128255,-0.19046113276128085,-0.12099466212557697,0.3964323933522501,historical_mean
live_production_ensemble,live_ensemble,ensemble,VDE,13,,0.05439603644401484,0.04938593553620588,0.01890644251588922,0.01742703442003447,0.7055555555555556,180,-0.01742234842639176,0.5944444444444444,0.22584709408917264,-1.0838786376521372,-0.01742234842639176,0.9033833639248374,
ridge_lean_v1,model,ridge,VDE,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,high_52w",0.047612108624676325,0.04149584686098598,0.016439893031277585,0.009536945744814564,0.7277777777777777,180,-0.025692150992314578,0.5833333333333334,0.2297241571303427,-0.9273536791854935,-0.025692150992314578,0.8593868534288288,
baseline_historical_mean,baseline,baseline,VDE,0,,0.05135584768253136,0.05001722577042585,0.013896332310277463,0.018058324654254436,0.7666666666666667,180,-0.0202955420833861,0.5666666666666667,0.18517115088560934,-0.17446306074327778,-0.0202955420833861,0.8928321633090086,historical_mean
