variant,n_benchmarks,consensus,mean_predicted_return,mean_ic,mean_hit_rate,mean_prob_outperform,confidence_tier,weight_mode,score_col,lambda_mix,top_benchmark,top_benchmark_weight,recommendation_mode,recommended_sell_pct,is_live_path
equal_weight,8,NEUTRAL,-0.024606470625933793,0.12796270172779173,0.6627412008864848,0.5,LOW,equal,,0.0,VOO,0.125,DEFER-TO-TAX-DEFAULT,0.5,False
quality_weighted,8,UNDERPERFORM,-0.025390562221325835,0.142188409164953,0.668936190687093,0.5,LOW,shrink_to_equal,nw_ic,0.25,DBC,0.15016461870339465,DEFER-TO-TAX-DEFAULT,0.5,True
