candidate_name,model_type,candidate_feature,replace_feature,benchmark,ic,ic_delta,oos_r2,oos_r2_delta,policy_return_sign,policy_return_sign_delta
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,VOO,0.057522840511779895,0.012565854030314294,-1.4759276983469691,-0.21867385507278092,0.025392276490968937,-0.0013603551622034492
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,VXUS,0.20603618280030866,-0.10047919822420376,-0.02123331908538506,-0.03716785037220616,0.07551459681932082,-0.0066935894540402635
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,VWO,0.37913949713830114,0.1277553461089438,0.08001312792469062,0.36171163373567083,0.08174126359086442,0.0060951932754946675
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,VMBS,0.22268213070352105,-0.0773109243697479,-0.39491259369171106,0.018547353797812027,0.11747978594522547,0.0
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,BND,0.2766754077959021,-0.08271656518067466,-0.6593199727453496,-0.08448993627769874,0.09774201582725425,-0.002153396875620356
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,GLD,0.149654824737389,-0.1301007232733521,-0.5086836620553525,0.24327025914303602,0.04298494426267642,-0.008260245710048707
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,DBC,-0.07593350914401123,-0.035528267218732444,-0.859054298423291,-0.2359454457673067,0.07584551931377163,0.003567550655499241
ridge_lean_v1__v16,ridge,pgr_vs_peers_6m,real_rate_10y,VDE,0.07760939123635503,0.03745794623290843,-0.25890289727538285,0.016823387670437784,0.057139030145148165,0.0004695095617386
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,VOO,0.020549315499156878,-0.024407670982308723,-0.9798144808713567,0.2774393624028315,0.03288280184991105,0.006130170196738661
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,VXUS,0.02231177417664599,-0.28420360684786644,-0.17129713207478714,-0.18723166336160824,0.07151212673890624,-0.01069605953445485
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,VWO,0.2715008969503687,0.02011674592101137,0.005739893990666656,0.28743839980164687,0.07754278087283284,0.0018967105574630855
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,VMBS,0.31018820751441073,0.010195152441141775,-0.16789901137692564,0.24556093611259744,0.11747978594522547,0.0
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,BND,0.33556158051468954,-0.02383039246188723,-0.215027562476368,0.35980247399128285,0.09932543444342583,-0.0005699782594487807
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,GLD,0.1743819253680669,-0.10537362264267419,-0.4010072691923081,0.35094665200608044,0.04822566515647022,-0.0030195248162549065
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,DBC,0.10775152990721855,0.14815677183249734,-0.3498179016039711,0.2732909510520132,0.08169300192158888,0.009415033263316483
ridge_lean_v1__v16,ridge,pgr_vs_vfh_6m,credit_spread_hy,VDE,-0.0533432101813842,-0.0934946551848308,-0.36004698051779527,-0.08432069557197464,0.04936380577474573,-0.007305714808663835
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,VOO,-0.017195880610096505,-0.062152867091562106,-1.2016622443580802,0.05559159891610799,0.029023218262167666,0.0022705866089952793
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,VXUS,0.054950603523011995,-0.2515647775015004,-0.16954854688260346,-0.18548307816942455,0.07081601625497834,-0.011392170018382747
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,VWO,0.14535151912070388,-0.10603263190865347,-0.18303283063633113,0.09866567517464908,0.07282526775482412,-0.002820802560545635
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,VMBS,0.3106743523855823,0.01068129731231332,-0.10728946011172269,0.3061704873778004,0.12137213531832493,0.0038923493730994574
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,BND,0.1799031068047469,-0.17948886617182988,-0.83005400506815,-0.2552239686004991,0.10493923046626444,0.00504381776338983
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,GLD,0.24831836373550623,-0.03143718427523487,-0.8509723061663124,-0.09901838496792381,0.053653406684381455,0.002408216711656329
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,DBC,-0.11778387434766985,-0.07737863242239107,-0.7523956663890792,-0.12928681373309492,0.08368679088636098,0.011408822228088589
ridge_lean_v1__v16,ridge,vwo_vxus_spread_6m,yield_curvature,VDE,-0.1071617436752163,-0.14731318867866292,-0.4603367743335629,-0.18461048938774227,0.053241580044778004,-0.0034279405386315603
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,VOO,0.0741661665094744,0.029209180028008798,-0.8883069568743789,0.3689468863998093,0.036187440029540226,0.009434808376367839
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,VXUS,-0.04790076881305553,-0.354416149837568,-0.1970894735361346,-0.2130240048229557,0.07782940684513205,-0.004378779428229035
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,VWO,0.19798627523562742,-0.053397875793729926,-0.1137209281166196,0.1679775776943606,0.07858687828569202,0.0029408079703222706
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,VMBS,0.29649281200083333,-0.003500243072435627,-0.2682095363743435,0.14525041111517956,0.12137213531832493,0.0038923493730994574
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,BND,0.36787946130939153,0.008487488332814763,-0.3012205314302956,0.27360950503735526,0.09940173211245278,-0.0004936805904218328
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,GLD,0.298817864748912,0.01906231673817088,-0.9254943139014093,-0.1735403927030208,0.047095894074628435,-0.0041492958980966915
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,DBC,-0.05238128982947041,-0.011976047904191621,-0.6572710102720158,-0.034162157616031585,0.07813175301460314,0.0058537843563307435
ridge_lean_v1__v16,ridge,gold_vs_treasury_6m,nfci,VDE,0.06170766587446114,0.021556220871014532,-0.42583686532686493,-0.1501105803810443,0.052855440484208614,-0.0038140800992009505
ridge_lean_v1__v16,ridge,breakeven_inflation_10y,real_rate_10y,VOO,0.11457886764411672,0.06962188116265111,-1.282953679127751,-0.025699835853562725,0.031006730031481827,0.004254098378309441
ridge_lean_v1__v16,ridge,breakeven_inflation_10y,real_rate_10y,VXUS,0.17647451103680203,-0.1300408699877104,-0.1335819297106895,-0.1495164609975106,0.06856091456254997,-0.01364727171081112
ridge_lean_v1__v16,ridge,breakeven_inflation_10y,real_rate_10y,VWO,0.2893761211879609,0.03799197015860356,-0.1459707799816159,0.13572772582936432,0.07967818355952153,0.004032113244151772
ridge_lean_v1__v16,ridge,breakeven_inflation_10y,real_rate_10y,VMBS,0.3234113480102785,0.023418292937009533,-0.5546894935638356,-0.14122954607431248,0.11747978594522547,0.0
ridge_lean_v1__v16,ridge,breakeven_inflation_10y,real_rate_10y,BND,0.31765145117560784,-0.04174052180096893,-0.6805583914147262,-0.10572835494707533,0.10159260059418564,0.0016971878913110278
