candidate_name,candidate_type,model_type,n_benchmarks,mean_current_predicted_return,mean_ic,mean_hit_rate,mean_oos_r2,mean_policy_return_sign,mean_mae
ensemble_ridge_gbt_v18,ensemble,ensemble,8,-0.16253902729713487,0.22318228164836598,0.6606449553001277,-0.1990905117360568,0.07706597368784687,0.15237633492143832
ensemble_ridge_gbt_v16,ensemble,ensemble,8,-0.10765365232772993,0.20183198784637915,0.6584857918263091,-0.1950062195305667,0.07480009746123437,0.15199785990449444
baseline_historical_mean,baseline,baseline,8,0.052590880393228845,-0.14237015009642612,0.6373530149607736,-0.20470187241513502,0.07038680020763428,0.1503402438180013
